Commune;Departement;Code INSEE;D102.0;Année;D204.0;prix_total
Boissy-sans-Avoir;78;78084;2.06;2016;;
Boissy-sans-Avoir;78;78084;2.07;2017;;
Boissy-sans-Avoir;78;78084;2.1;2018;;
Boissy-sans-Avoir;78;78084;2.1;2019;;
Boissy-sans-Avoir;78;78084;2.13;2020;;
Boissy-sans-Avoir;78;78084;2.18;2021;;
Boissy-sans-Avoir;78;78084;2.88;2022;;
Boissy-sans-Avoir;78;78084;2.99;2023;;
Bonnelles;78;78087;;2012;;
Bonnelles;78;78087;;2013;;
Bonnelles;78;78087;;2014;;
Bonnelles;78;78087;;2015;;
Bonnelles;78;78087;;2016;;
Bonnelles;78;78087;;2017;;
Bonnelles;78;78087;;2018;;
Bonnelles;78;78087;;2019;;
Bonnelles;78;78087;2.34;2020;3.94;6.28
Bonnelles;78;78087;2.36;2021;4.02;6.38
Bonnelles;78;78087;2.68;2022;4.14;6.82
Bonnelles;78;78087;2.52;2023;;
Bouafle;78;78090;;2012;;
Bouafle;78;78090;;2013;;
Bouafle;78;78090;;2014;;
Bouafle;78;78090;;2015;;
Bouafle;78;78090;3.03;2016;3.03;6.06
Bouafle;78;78090;2.99;2017;3.31;6.3
Bouafle;78;78090;3.14;2018;3.24;6.38
Bouafle;78;78090;3.24;2019;;
Bouafle;78;78090;3.3;2020;2.9;6.2
Bouafle;78;78090;3.66;2021;3.02;6.68
Bouafle;78;78090;3.62;2022;3.17;6.79
Bouafle;78;78090;3.64;2023;;
Bougival;78;78092;4.22;2012;;
Bougival;78;78092;3.12;2013;;
Bougival;78;78092;3.61;2014;;
Bougival;78;78092;2.72;2015;;
Bougival;78;78092;2.84;2016;;
Bougival;78;78092;2.52;2017;;
Bougival;78;78092;5.6;2018;;
Bougival;78;78092;5.3;2019;;
Bougival;78;78092;5.2;2020;;
Bougival;78;78092;2.45;2021;;
Bougival;78;78092;2.66;2022;;
Bougival;78;78092;2.69;2023;;
Bourdonné;78;78096;3.05;2012;;
Bourdonné;78;78096;3.13;2013;;
Bourdonné;78;78096;3.26;2014;;
Bourdonné;78;78096;3.41;2015;;
Bourdonné;78;78096;3.51;2016;;
Bourdonné;78;78096;3.67;2017;;
Bourdonné;78;78096;3.79;2018;;
Bourdonné;78;78096;3.57;2019;;
Bourdonné;78;78096;3.96;2020;;
Bourdonné;78;78096;4.0;2021;;
Bourdonné;78;78096;4.1;2022;;
Bourdonné;78;78096;4.16;2023;;
Breuil-Bois-Robert;78;78104;;2012;;
Breuil-Bois-Robert;78;78104;;2013;;
Breuil-Bois-Robert;78;78104;;2014;;
Breuil-Bois-Robert;78;78104;;2015;;
Breuil-Bois-Robert;78;78104;3.03;2016;3.03;6.06
Breuil-Bois-Robert;78;78104;2.99;2017;3.31;6.3
Breuil-Bois-Robert;78;78104;3.14;2018;3.24;6.38
Breuil-Bois-Robert;78;78104;3.24;2019;;
Breuil-Bois-Robert;78;78104;3.3;2020;2.9;6.2
Breuil-Bois-Robert;78;78104;3.66;2021;3.02;6.68
Breuil-Bois-Robert;78;78104;3.62;2022;3.17;6.79
Breuil-Bois-Robert;78;78104;3.64;2023;;
Bréval;78;78107;;2012;;
Bréval;78;78107;;2013;;
Bréval;78;78107;2.49;2014;2.05;4.54
Bréval;78;78107;2.42;2015;2.06;4.48
Bréval;78;78107;2.41;2016;2.04;4.45
Bréval;78;78107;;2017;;
Bréval;78;78107;;2018;;
Bréval;78;78107;2.63;2019;;
Bréval;78;78107;;2020;;
Bréval;78;78107;2.66;2021;;
Bréval;78;78107;3.12;2022;;
Bréval;78;78107;3.27;2023;;
Les Bréviaires;78;78108;3.05;2012;;
Les Bréviaires;78;78108;3.13;2013;;
Les Bréviaires;78;78108;3.26;2014;;
Les Bréviaires;78;78108;3.41;2015;;
