Commune;Departement;Code INSEE;D102.0;Année;D204.0;prix_total
Chennevières-lès-Louvres;95;95154;2.87;2023;;
Commeny (avant 2024);95;95169;;2012;;
Commeny (avant 2024);95;95169;;2013;;
Commeny (avant 2024);95;95169;;2014;;
Commeny (avant 2024);95;95169;;2015;;
Commeny (avant 2024);95;95169;;2016;;
Commeny (avant 2024);95;95169;;2017;;
Commeny (avant 2024);95;95169;;2018;;
Commeny (avant 2024);95;95169;;2019;;
Commeny (avant 2024);95;95169;;2020;;
Commeny (avant 2024);95;95169;;2021;;
Commeny (avant 2024);95;95169;;2022;;
Commeny (avant 2024);95;95169;2.58;2023;;
Condécourt;95;95170;;2012;;
Condécourt;95;95170;;2013;;
Condécourt;95;95170;;2014;;
Condécourt;95;95170;;2015;;
Condécourt;95;95170;;2016;;
Condécourt;95;95170;;2017;;
Condécourt;95;95170;;2018;;
Condécourt;95;95170;;2019;;
Condécourt;95;95170;;2020;;
Condécourt;95;95170;;2021;;
Condécourt;95;95170;;2022;;
Condécourt;95;95170;2.58;2023;;
Cormeilles-en-Parisis;95;95176;2.05;2012;;
Cormeilles-en-Parisis;95;95176;2.04;2013;;
Cormeilles-en-Parisis;95;95176;2.05;2014;;
Cormeilles-en-Parisis;95;95176;2.06;2015;;
Cormeilles-en-Parisis;95;95176;1.97;2016;;
Cormeilles-en-Parisis;95;95176;1.97;2017;;
Cormeilles-en-Parisis;95;95176;1.97;2018;;
Cormeilles-en-Parisis;95;95176;1.86;2019;;
Cormeilles-en-Parisis;95;95176;2.09;2020;;
Cormeilles-en-Parisis;95;95176;2.13;2021;;
Cormeilles-en-Parisis;95;95176;2.25;2022;;
Cormeilles-en-Parisis;95;95176;2.32;2023;;
Cormeilles-en-Vexin;95;95177;2.84;2012;;
Cormeilles-en-Vexin;95;95177;2.81;2013;;
Cormeilles-en-Vexin;95;95177;2.8;2014;;
Cormeilles-en-Vexin;95;95177;2.84;2015;;
Cormeilles-en-Vexin;95;95177;2.83;2016;;
Cormeilles-en-Vexin;95;95177;2.9;2017;;
Cormeilles-en-Vexin;95;95177;3.16;2018;;
Cormeilles-en-Vexin;95;95177;3.19;2019;;
Cormeilles-en-Vexin;95;95177;3.15;2020;;
Cormeilles-en-Vexin;95;95177;3.25;2021;;
Cormeilles-en-Vexin;95;95177;3.53;2022;;
Cormeilles-en-Vexin;95;95177;3.53;2023;;
Courdimanche;95;95183;1.91;2012;;
Courdimanche;95;95183;1.9;2013;;
Courdimanche;95;95183;1.87;2014;;
Courdimanche;95;95183;1.86;2015;;
Courdimanche;95;95183;1.83;2016;;
Courdimanche;95;95183;1.85;2017;;
Courdimanche;95;95183;2.06;2018;;
Courdimanche;95;95183;1.79;2019;;
Courdimanche;95;95183;1.99;2020;;
Courdimanche;95;95183;2.09;2021;;
Courdimanche;95;95183;2.35;2022;;
Courdimanche;95;95183;2.43;2023;;
Deuil-la-Barre;95;95197;2.05;2012;;
Deuil-la-Barre;95;95197;2.04;2013;;
Deuil-la-Barre;95;95197;2.05;2014;;
Deuil-la-Barre;95;95197;2.06;2015;;
Deuil-la-Barre;95;95197;1.97;2016;;
Deuil-la-Barre;95;95197;1.97;2017;;
Deuil-la-Barre;95;95197;1.97;2018;;
Deuil-la-Barre;95;95197;1.86;2019;;
Deuil-la-Barre;95;95197;2.09;2020;;
Deuil-la-Barre;95;95197;2.13;2021;;
Deuil-la-Barre;95;95197;2.25;2022;;
Deuil-la-Barre;95;95197;2.32;2023;;
Domont;95;95199;2.05;2012;;
Domont;95;95199;2.04;2013;;
