Nom de la commune adhérente,Somme de Tarif zone tarifaire 1,Somme de DPT de la commune,Somme de Code INSEE de la commune adhérente,Somme de Identifiant SISPEA de la commune adhérente
Saint-Joseph,6.379999999999999,1988,236878,90834
Monchy-Humières,6.37,60,60408,24392
Ormoy,6.369999999999999,250,251149,101956
Poligny,6.369999999999999,121,121908,50261
Murat,6.36,33,33467,443211
Saint-Mesmin,6.36,106,106817,42918
Roquebrune,6.359999999999999,65,65705,26654
Saint-Hilaire-du-Harcouët,6.35,100,100968,440634
Éragny-sur-Epte,6.34,60,60211,24198
Ruffec,6.34,52,52468,20680
Vouhé,6.34,96,96836,39579
Fontaine-le-Port,6.33,154,154376,64070
Segonzac,6.33,35,35619,13312
Barjouville,6.32,56,56048,22288
Gasville-Oisème,6.32,56,56346,22574
Gellainville,6.32,56,56354,22580
Maizières,6.32,138,139055,55745
Poisvilliers,6.32,56,56602,22816
Saint-Martin-de-Nigelles,6.32,56,56704,22910
Saint-Prest,6.32,56,56716,22922
Cambes,6.3100000000000005,79,79135,31162
Longèves,6.3100000000000005,102,102334,41038
Villeneuve-sur-Bellot,6.31,77,77512,32345
Bailleul,6.3,120,120066,48079
Quinsac,6.3,57,57695,22807
Hugleville-en-Caux,6.29,152,152740,62944
Naves,6.29,78,78568,30831
Sablonnières,6.29,77,77398,32237
Saint-Ouen-du-Breuil,6.29,152,153256,63452
Normanville,6.279999999999999,103,103909,42442
Courtenay,6.27,83,83250,32694
Petiville,6.27,90,90998,36866
Chasselay,6.26,107,107135,43808
Saint-Beauzire,6.26,126,126644,52802
Mandres-les-Roses,6.24,188,188094,73346
Périgny,6.24,188,188112,73358
Santeny,6.24,188,188140,73374
Valenton,6.24,188,188148,73380
Villecresnes,6.24,188,188150,73382
Villeneuve-le-Roi,6.24,188,188154,73386
Villeneuve-Saint-Georges,6.24,188,188156,73388
Beauchamps,6.23,130,130101,52056
Haut-Bocage,6.23,9,9474,660759
La Roche-Guyon,6.23,95,95523,36841
Bischholtz,6.22,134,134088,55676
Branne,6.22,58,58158,22844
Mulhausen,6.22,134,134614,56172
Escamps,6.21,135,135245,53871
Piblange,6.21,114,115084,45620
Bellebat,6.2,33,33043,13254
Gornac,6.2,33,33189,13399
Noyelles-sur-Escaut,6.199999999999999,118,118876,47522
Bellot,6.18,77,77030,31882
Couëtron-au-Perche,6.18,123,123744,740952
Fontaine-Notre-Dame,6.18,61,61566,24593
Grand-Camp,6.18,103,103613,42152
Angliers,6.17,103,103014,41015
Aulnay,6.17,103,103037,41037
Ballainvilliers,6.17,182,182088,72778
Genouillé,6.17,103,103278,41270
Saint-Sauvant,6.17,103,103639,41616
Valmont,6.17,133,134409,54768
Verdun,6.17,64,64873,25500
Auxon,6.16,80,80062,32567
Champvans,6.16,109,109226,44712
Athée,6.15,74,74040,28303
Bosroumois,6.15,54,54180,441936
Bures-sur-Yvette,6.15,182,182244,72832
Saulx-les-Chartreux,6.14,182,183174,73084
Florange,6.13,114,114442,45010
Hargnies,6.13,67,67497,26529
Serémange-Erzange,6.13,114,115294,45824
Fourques,6.109999999999999,96,96201,39577
Barenton-Bugny,6.1,4,4092,1498
Le Malesherbois,6.1,90,90382,440872
Vayres,6.1,120,120738,49037
Merville,6.09,90,90741,36221
Saint-Ambroix,6.09,48,48425,18879
Cervières,6.08,47,47061,18773
Fleurieux-sur-l'Arbresle,6.08,138,138172,57572
Forges-les-Eaux,6.08,152,152552,441262
Morangis,6.0600000000000005,182,182864,72994
Rouvroy,6.0600000000000005,64,65383,27245
Savigny-sur-Orge,6.0600000000000005,182,183178,73086
Pessines,6.05,34,34550,12890
Saint-Georges-des-Coteaux,6.05,34,34672,13012
Villers-le-Sec,6.05,72,73376,31021
Favières,6.04,131,131366,53152
Habloville,6.04,61,61199,24876
La Motte-Saint-Jean,6.04,142,142650,59714
Lantenay,6.04,22,22545,8395
Torigny-les-Villes,6.04,100,101202,440486
Chalais,6.029999999999999,102,102122,40717
Montlaur,6.029999999999999,74,74922,29618
Saint-Aubin-de-Branne,6.029999999999999,66,66750,27158
Allainville,6.02,106,106012,43496
Gif-sur-Yvette,6.02,182,182544,72916
Le Châtellier,6.02,96,96173,38947
Saint-Germain-Nuelles,6.02,138,138416,440086
Courcelles,6.01,202,202257,80496
Saint-Germain-sur-École,6,154,154824,64502
Villebon-sur-Yvette,6,182,183322,73126
Les Loges,5.99,128,128680,51964
Lherm,5.99,77,77470,30442
Fermanville,5.9799999999999995,100,100356,38376
Maupertus-sur-Mer,5.9799999999999995,100,100592,38604
Grigny,5.970000000000001,222,222770,90827
Varangéville,5.970000000000001,108,109098,42960
Aubusson,5.97,84,84019,33366
Moncontour,5.97,108,108314,43419
Solesmes,5.97,131,131907,54331
Lansac,5.96,99,99320,41099
Les Rousses,5.96,78,78940,31890
Ligné,5.96,60,60267,23296
Mirambeau,5.96,48,48579,18906
Oisy,5.96,117,117644,46990
Clères,5.95,152,152358,62566
Val d'Oust,5.95,112,112394,440240
Tinchebray-Bocage,5.949999999999999,122,122972,440134
Châteaubourg,5.9399999999999995,42,42127,16597
Chazeuil,5.9399999999999995,79,79233,30842
Ingrandes,5.93,122,122198,49468
Saint-Appolinard,5.93,80,80561,32182
Leval,5.92,149,149410,60013
Pierrefitte,5.92,98,98375,39917
Pézarches,5.890000000000001,154,154720,64402
Hanches,5.89,56,56382,22604
Lizines,5.89,77,77256,32101
Lagarrigue,5.88,128,128259,52132
La Plagne Tarentaise,5.87,146,146300,441044
Roche,5.86,80,80527,32149
Baron,5.859999999999999,93,93075,37275
Lagrange,5.859999999999999,105,105385,43529
Versonnex,5.859999999999999,75,75732,31755
Tart,5.84,42,43246,521162
Cély,5.83,154,154130,63832
Haulchin,5.83,118,118576,47236
Pleine-Selve,5.83,35,35931,14828
Cherré-Au,5.82,144,144160,520842
Le Passage,5.82,85,85497,33603
Neuvic,5.82,43,43457,16307
Alaincourt,5.8100000000000005,72,72019,29718
Boisset-lès-Montrond,5.8100000000000005,84,84040,33388
Boussac,5.8100000000000005,81,81098,30965
Fronsac,5.8100000000000005,64,64373,25741
Moussey,5.8100000000000005,155,156065,62142
Condat,5.81,61,61128,23456
Ammerschwihr,5.800000000000001,136,136010,56658
Saint-Sardos,5.8,129,129449,52640
Grignon,5.79,94,94438,38499
Remigny,5.79,73,74008,31229
Les Hauts-d'Anjou,5.789999999999999,98,98160,521224
Préaux,5.78,129,129693,52461
Savigneux,5.78,43,43697,17610
Cassagnes,5.779999999999999,112,112103,45490
Bénouville,5.77,90,90139,36048
Dampierre-Saint-Nicolas,5.77,76,76210,31314
Freulleville,5.77,76,76288,31390
Les Yveteaux,5.77,61,61512,25185
Meulers,5.77,76,76437,31539
Saint-Aubin-le-Cauf,5.77,76,76562,31662
Saint-Laurent-la-Vallée,5.77,24,24438,9342
Saint-Vaast-d'Équiqueville,5.77,76,76652,31749
Rompon,5.76,14,14396,5142
Tayrac,5.76,59,59583,23115
Ardouval,5.75,76,76024,31131
Beaurieux,5.75,61,61120,24156
Chauffry,5.75,77,77106,31954
Les Grandes-Ventes,5.75,76,76321,31423
Mesnil-Follemprise,5.75,76,76430,31532
Osmoy-Saint-Valery,5.75,76,76487,31588
Saint-Urbain,5.75,114,114543,46568
Ventes-Saint-Rémy,5.75,76,76733,31827
Civrieux,5.74,2,2210,766
Cloyes-les-Trois-Rivières,5.74,28,28103,220762
Commune nouvelle d'Arrou,5.74,28,28012,220949
La Chapelle-Moutils,5.74,77,77093,31942
Saint-Jacques-des-Blats,5.74,30,30384,11400
Aime-la-Plagne,5.73,146,146012,440574
Apinac,5.73,84,84012,33360
Budos,5.73,33,33076,13287
Estos,5.73,128,128440,53530
Maubec,5.73,122,122294,49643
Rouvray,5.720000000000001,110,110859,44237
Sancy,5.720000000000001,131,131934,53704
Athée-sur-Cher,5.72,74,74016,29410
Dierre,5.72,74,74192,29584
La Croix-en-Touraine,5.72,74,74182,29574
Rouffiac,5.72,98,98536,40423
Sainte-Catherine,5.72,131,131928,54801
Bourg,5.71,85,85129,33572
Saint-Cassien,5.7,62,62757,24615
Saint-Firmin,5.7,134,134794,55382
Beaucaire,5.6899999999999995,62,62067,24621
Floirac,5.68,96,96433,278315
Montauriol,5.67,58,58422,22520
Neuvy-au-Houlme,5.67,61,61308,24984
Rives,5.67,85,85560,33665
Saint-Hilaire-de-Court,5.67,36,36428,13728
Flamanville,5.66,126,126448,50560
Mialet,5.66,54,54437,21152
Roussillon,5.66,122,122446,49790
Villerupt,5.65,108,109160,43022
Craon,5.640000000000001,139,139171,55665
Sèvremoine,5.640000000000001,98,98602,440144
La Force,5.63,35,35375,13235
Rivière,5.63,99,99913,40781
Frichemesnil,5.62,76,76290,31392
Grugny,5.62,76,76331,31433
La Houssaye-Béranger,5.62,76,76369,31471
Mazères,5.62,42,42464,16850
Mesnil-en-Ouche,5.62,54,54098,441224
Nassandres sur Risle,5.62,54,54850,441386
Saint-Florentin,5.62,125,125536,50784
Saint-Sixte,5.62,89,89567,35379
Magny-les-Hameaux,5.619999999999999,156,156712,65006
Pissy-Pôville,5.61,152,153006,63208
Roumare,5.61,152,153082,63282
Vieillevigne,5.609999999999999,75,75792,30206
Saint-Sernin,5.6,54,54574,21093
Magny,5.59,157,157431,64557
Payzac,5.59,31,31491,11774
Chalifert,5.58,154,154150,63850
Planches,5.58,61,61330,25005
Saint-Projet,5.58,128,128462,52321
Dommartin,5.57,94,94277,38444
Nozières,5.57,25,25335,9359
Ville,5.57,60,60676,24655
Pringy,5.5600000000000005,128,128824,52259
Boissières,5.56,76,76075,29698
Girolles,5.550000000000001,134,134344,53625
Rosières,5.550000000000001,88,88429,36519
Erching,5.55,114,114392,44960
Laroque,5.55,67,67359,27322
Rimling,5.55,114,115168,45704
Le Pont-de-Beauvoisin,5.54,111,111519,45943
Saint-Sornin,5.54,33,33759,12681
Vaux,5.54,60,61002,24784
Faugères,5.53,41,41184,16314
Héricourt,5.53,132,132718,286247
Savigny,5.53,143,143435,59909
Souesmes,5.53,82,82498,33252
Germigny,5.529999999999999,140,140453,55869
Gouy,5.529999999999999,78,78665,32463
La Bussière,5.529999999999999,131,131100,52402
Moutiers,5.529999999999999,89,89591,35616
Meilleray,5.52,77,77287,32132
Saint-Eusèbe,5.52,145,145643,60953
Élincourt-Sainte-Marguerite,5.51,60,60206,24193
Longfossé,5.51,62,62524,25700
Albias,5.5,164,164004,68090
